date,amount,year,month
Jan 2013, 1.19, 2013, Jan
Jul 2013, 0.28, 2013, Jul
Jan 2014, 0.54, 2014, Jan
Jul 2014, 0.22, 2014, Jul
Jan 2015, 0.65, 2015, Jan
Jul 2015, 0.66, 2015, Jul
Jan 2016, 6.39, 2016, Jan
Jul 2016, 0.06, 2016, Jul
Jan 2017, 9.92, 2017, Jan
Jul 2017, 0.09, 2017, Jul
Jan 2018, 3.33, 2018, Jan
Jul 2018, 0.22, 2018, Jul
Jan 2019, 5.23, 2019, Jan
Jul 2019, 0.08, 2019, Jul
Jan 2020, 2.06, 2020, Jan
Jul 2020, 0.05, 2020, Jul
Jan 2021, 3.65, 2021, Jan
Jul 2021, 0.29, 2021, Jul
Jan 2022, 0.45, 2022, Jan
Jul 2022, 0.15, 2022, Jul
Jan 2023, 8.27, 2023, Jan
Jul 2023, 0.02, 2023, Jul
Jan 2024, 4.63, 2024, Jan
Jul 2024, 0.08, 2024, Jul
