date,amount_x,year_x,month_x,type_x,amount_y,year_y,month_y,type_y
Jan 2009,48.0,2009.0,Jan,wildfire,6.48,2009, Jan,rain
Apr 2009,187.0,2009.0,Apr,wildfire,0.57,2009, Apr,rain
Jul 2009,593.0,2009.0,Jul,wildfire,0.05,2009, Jul,rain
Oct 2009,233.0,2009.0,Oct,wildfire,2.07,2009, Oct,rain
Jan 2010,10.0,2010.0,Jan,wildfire,1.27,2010, Jan,rain
Apr 2010,47.0,2010.0,Apr,wildfire,3.47,2010, Apr,rain
Jul 2010,571.0,2010.0,Jul,wildfire,0.07,2010, Jul,rain
Oct 2010,247.0,2010.0,Oct,wildfire,3.0,2010, Oct,rain
Jan 2011,42.0,2011.0,Jan,wildfire,1.28,2011, Jan,rain
Apr 2011,92.0,2011.0,Apr,wildfire,1.1,2011, Apr,rain
Jul 2011,609.0,2011.0,Jul,wildfire,0.22,2011, Jul,rain
Oct 2011,200.0,2011.0,Oct,wildfire,1.54,2011, Oct,rain
Jan 2012,142.0,2012.0,Jan,wildfire,3.12,2012, Jan,rain
Apr 2012,99.0,2012.0,Apr,wildfire,2.48,2012, Apr,rain
Jul 2012,525.0,2012.0,Jul,wildfire,0.26,2012, Jul,rain
Oct 2012,207.0,2012.0,Oct,wildfire,0.99,2012, Oct,rain
Jan 2013,41.0,2013.0,Jan,wildfire,1.19,2013, Jan,rain
Apr 2013,194.0,2013.0,Apr,wildfire,0.71,2013, Apr,rain
Jul 2013,551.0,2013.0,Jul,wildfire,0.28,2013, Jul,rain
Oct 2013,288.0,2013.0,Oct,wildfire,0.26,2013, Oct,rain
Jan 2014,283.0,2014.0,Jan,wildfire,0.54,2014, Jan,rain
Apr 2014,143.0,2014.0,Apr,wildfire,1.06,2014, Apr,rain
Jul 2014,541.0,2014.0,Jul,wildfire,0.22,2014, Jul,rain
Oct 2014,172.0,2014.0,Oct,wildfire,1.06,2014, Oct,rain
Jan 2015,54.0,2015.0,Jan,wildfire,0.65,2015, Jan,rain
Apr 2015,216.0,2015.0,Apr,wildfire,1.06,2015, Apr,rain
Jul 2015,705.0,2015.0,Jul,wildfire,0.66,2015, Jul,rain
Oct 2015,239.0,2015.0,Oct,wildfire,0.9,2015, Oct,rain
Jan 2016,31.0,2016.0,Jan,wildfire,6.39,2016, Jan,rain
Apr 2016,139.0,2016.0,Apr,wildfire,1.52,2016, Apr,rain
Jul 2016,585.0,2016.0,Jul,wildfire,0.06,2016, Jul,rain
Oct 2016,248.0,2016.0,Oct,wildfire,3.82,2016, Oct,rain
Jan 2017,16.0,2017.0,Jan,wildfire,9.92,2017, Jan,rain
Apr 2017,107.0,2017.0,Apr,wildfire,2.76,2017, Apr,rain
Jul 2017,674.0,2017.0,Jul,wildfire,0.09,2017, Jul,rain
Oct 2017,389.0,2017.0,Oct,wildfire,0.34,2017, Oct,rain
Jan 2018,84.0,2018.0,Jan,wildfire,3.33,2018, Jan,rain
Apr 2018,144.0,2018.0,Apr,wildfire,2.13,2018, Apr,rain
Jul 2018,583.0,2018.0,Jul,wildfire,0.22,2018, Jul,rain
Oct 2018,292.0,2018.0,Oct,wildfire,0.7,2018, Oct,rain
Jan 2019,37.0,2019.0,Jan,wildfire,5.23,2019, Jan,rain
Apr 2019,123.0,2019.0,Apr,wildfire,1.22,2019, Apr,rain
Jul 2019,517.0,2019.0,Jul,wildfire,0.08,2019, Jul,rain
Oct 2019,376.0,2019.0,Oct,wildfire,0.16,2019, Oct,rain
Jan 2020,22.0,2020.0,Jan,wildfire,2.06,2020, Jan,rain
Apr 2020,134.0,2020.0,Apr,wildfire,1.99,2020, Apr,rain
Jul 2020,614.0,2020.0,Jul,wildfire,0.05,2020, Jul,rain
Oct 2020,288.0,2020.0,Oct,wildfire,0.05,2020, Oct,rain
Jan 2021,117.0,2021.0,Jan,wildfire,3.65,2021, Jan,rain
Apr 2021,327.0,2021.0,Apr,wildfire,0.29,2021, Apr,rain
Jul 2021,488.0,2021.0,Jul,wildfire,0.29,2021, Jul,rain
Oct 2021,186.0,2021.0,Oct,wildfire,3.66,2021, Oct,rain
Jan 2022,96.0,2022.0,Jan,wildfire,0.45,2022, Jan,rain
Apr 2022,238.0,2022.0,Apr,wildfire,1.73,2022, Apr,rain
Jul 2022,503.0,2022.0,Jul,wildfire,0.15,2022, Jul,rain
Oct 2022,250.0,2022.0,Oct,wildfire,0.17,2022, Oct,rain
Jan 2023,35.0,2023.0,Jan,wildfire,8.27,2023, Jan,rain
Apr 2023,167.0,2023.0,Apr,wildfire,0.51,2023, Apr,rain
Jul 2023,608.0,2023.0,Jul,wildfire,0.02,2023, Jul,rain
Oct 2023,314.0,2023.0,Oct,wildfire,0.46,2023, Oct,rain
