date,amount,year,month
Jan 2009,48,2009,Jan
Apr 2009,187,2009,Apr
Jul 2009,593,2009,Jul
Oct 2009,233,2009,Oct
Jan 2010,10,2010,Jan
Apr 2010,47,2010,Apr
Jul 2010,571,2010,Jul
Oct 2010,247,2010,Oct
Jan 2011,42,2011,Jan
Apr 2011,92,2011,Apr
Jul 2011,609,2011,Jul
Oct 2011,200,2011,Oct
Jan 2012,142,2012,Jan
Apr 2012,99,2012,Apr
Jul 2012,525,2012,Jul
Oct 2012,207,2012,Oct
Jan 2013,41,2013,Jan
Apr 2013,194,2013,Apr
Jul 2013,551,2013,Jul
Oct 2013,288,2013,Oct
Jan 2014,283,2014,Jan
Apr 2014,143,2014,Apr
Jul 2014,541,2014,Jul
Oct 2014,172,2014,Oct
Jan 2015,54,2015,Jan
Apr 2015,216,2015,Apr
Jul 2015,705,2015,Jul
Oct 2015,239,2015,Oct
Jan 2016,31,2016,Jan
Apr 2016,139,2016,Apr
Jul 2016,585,2016,Jul
Oct 2016,248,2016,Oct
Jan 2017,16,2017,Jan
Apr 2017,107,2017,Apr
Jul 2017,674,2017,Jul
Oct 2017,389,2017,Oct
Jan 2018,84,2018,Jan
Apr 2018,144,2018,Apr
Jul 2018,583,2018,Jul
Oct 2018,292,2018,Oct
Jan 2019,37,2019,Jan
Apr 2019,123,2019,Apr
Jul 2019,517,2019,Jul
Oct 2019,376,2019,Oct
Jan 2020,22,2020,Jan
Apr 2020,134,2020,Apr
Jul 2020,614,2020,Jul
Oct 2020,288,2020,Oct
Jan 2021,117,2021,Jan
Apr 2021,327,2021,Apr
Jul 2021,488,2021,Jul
Oct 2021,186,2021,Oct
Jan 2022,96,2022,Jan
Apr 2022,238,2022,Apr
Jul 2022,503,2022,Jul
Oct 2022,250,2022,Oct
Jan 2023,35,2023,Jan
Apr 2023,167,2023,Apr
Jul 2023,608,2023,Jul
Oct 2023,314,2023,Oct
