OBJECTID_x,zoneId_x,country_abbr_x,state_abbr_x,county_abb_x,city_abbr_x,zone_sequence_x,city_zone_sequence,Incident Name,Most Extreme Status,Shape__Area,Shape__Length,Lat,Lon,X,Y,OBJECTID_y,zoneId_y,country_abbr_y,state_abbr_y,county_abb_y,city_abbr_y,zone_sequence_y,incident_name,most_extreme_status,tooltip
1,US-CA-XLA-LAC-E119,US,CA,XLA,LAC,E119,LAC-E119,HURST,Evacuation Order,412649912.588867,113231.522051684,33.814125,-116.530853,-118.468468806185,34.3550703136408,1,US-CA-XLA-LAC-E119,US,CA,XLA,LAC,E119,HURST,Evacuation Order,Los Angeles
2,US-CA-XLA-SCL-RANCH,US,CA,XLA,SCL,RANCH,SCL-RANCH,HURST,Evacuation Warning,72086298.7402344,43886.728092302,33.551064,-117.644183,-118.4802887952,34.377137753306,2,US-CA-XLA-SCL-RANCH,US,CA,XLA,SCL,RANCH,HURST,Evacuation Warning,Los Angeles
3,US-CA-XLA-LOS-Q1116,US,CA,XLA,LOS,Q1116,LOS-Q1116,PALISADES,Evacuation Order,8429631.65234375,19035.9103361783,34.052238,-118.243344,-118.570148698762,34.0799534623255,3,US-CA-XLA-LOS-Q1116,US,CA,XLA,LOS,Q1116,PALISADES,Evacuation Order,Los Angeles
4,US-CA-XLA-CAL-C407,US,CA,XLA,CAL,C407,CAL-C407,PALISADES,Evacuation Warning,38459579.6904297,34610.8427322381,39.492587,-121.568741,-118.655103569156,34.1254667781063,4,US-CA-XLA-CAL-C407,US,CA,XLA,CAL,C407,PALISADES,Evacuation Warning,Los Angeles
5,US-CA-XLA-SDP-U029,US,CA,XLA,SDP,U029,SDP-U029,PALISADES,Evacuation Order,108048643.09668,79915.287395005,37.345717,-119.455639,-118.66439980361,34.0819331812972,5,US-CA-XLA-SDP-U029,US,CA,XLA,SDP,U029,PALISADES,Evacuation Order,Los Angeles
6,US-CA-XLA-SCL-WREN,US,CA,XLA,SCL,WREN,SCL-WREN,HURST,Evacuation Warning,3623308.53417969,9842.47264735196,36.353273,-119.333776,-118.446239781196,34.4040143613279,6,US-CA-XLA-SCL-WREN,US,CA,XLA,SCL,WREN,HURST,Evacuation Warning,Los Angeles
7,US-CA-XLA-LCF-MEMORIAL,US,CA,XLA,LCF,MEMORIAL,LCF-MEMORIAL,EATON,Evacuation Order,6725536.18554688,10256.7124215969,46.928162,-55.397881,-118.204496960463,34.2106992858556,7,US-CA-XLA-LCF-MEMORIAL,US,CA,XLA,LCF,MEMORIAL,EATON,Evacuation Order,Los Angeles
8,US-CA-XLA-LCF-INVERNESS,US,CA,XLA,LCF,INVERNESS,LCF-INVERNESS,EATON,Evacuation Order,13658696.1875,18009.1329436431,38.090617,-122.923346,-118.185685911852,34.1826250270389,8,US-CA-XLA-LCF-INVERNESS,US,CA,XLA,LCF,INVERNESS,EATON,Evacuation Order,Los Angeles
9,US-CA-XLA-AGO-C306,US,CA,XLA,AGO,C306,AGO-C306,KENNETH,Evacuation Warning,24896229.6738281,32270.8842607997,36.34399,-119.385624,-118.764770651848,34.1494590935167,9,US-CA-XLA-AGO-C306,US,CA,XLA,AGO,C306,KENNETH,Evacuation Warning,Los Angeles
10,US-CA-XLA-LAC-E178,US,CA,XLA,LAC,E178,LAC-E178,EATON,Evacuation Order,18804751.1005859,22860.2213956913,33.813527,-116.530602,-118.110517484414,34.1931300151133,10,US-CA-XLA-LAC-E178,US,CA,XLA,LAC,E178,EATON,Evacuation Order,Los Angeles
