Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc.1,Avg Sol Rad (Ly/day),qc.2,Avg Vap Pres (mBars),qc.3,Avg Max Air Temp (F),qc.4,Avg Min Air Temp (F),qc.5,Avg Air Temp (F),qc.6,Avg Max Rel Hum (%),qc.7,Avg Min Rel Hum (%),qc.8,Avg Rel Hum (%),qc.9,Avg Dew Point (F),qc.10,Avg Wind Speed (mph),qc.11,Avg Soil Temp (F),qc.12,month,year,slope
44,U.C. Riverside,Los Angeles Basin,Jul 2010,6.57, ,0.0, ,540.0, ,14.5, ,87.3,K,61.1,K,72.4, ,77.0, ,33.0, ,55.0, ,54.5, ,4.4, ,74.8, ,July,2010,-3.5
44,U.C. Riverside,Los Angeles Basin,Aug 2010,6.99, ,0.0, ,538.0, ,12.3, ,90.7,K,60.8, ,74.7, ,69.0, ,23.0, ,43.0, ,49.8, ,4.0, ,73.6, ,August,2010,-3.5
44,U.C. Riverside,Los Angeles Basin,Sep 2010,5.45, ,0.02, ,439.0, ,11.6, ,89.6,K,59.4,K,73.1, ,67.0, ,25.0, ,44.0, ,48.1, ,3.8, ,70.6, ,September,2010,-3.5
44,U.C. Riverside,Los Angeles Basin,Oct 2010,2.1,K,0.37, ,192.0,K,12.4, ,75.8,K,56.0,K,64.7, ,78.0, ,42.0, ,61.0, ,49.4, ,3.5, ,66.0, ,October,2010,-3.5
44,U.C. Riverside,Los Angeles Basin,Nov 2010,3.22,K,1.0, ,325.0,K,6.9, ,70.7,K,46.7,K,58.4,K,66.0,K,26.0,K,43.0, ,33.0, ,4.4,K,56.7,K,November,2010,-3.5
44,U.C. Riverside,Los Angeles Basin,Jul 2012,7.93, ,0.07, ,670.0, ,13.7, ,89.7, ,61.6,K,74.4, ,73.0, ,27.0, ,48.0, ,52.7, ,4.3,K,74.5, ,July,2012,-3.55
44,U.C. Riverside,Los Angeles Basin,Aug 2012,7.84, ,0.18, ,604.0, ,15.0, ,95.2, ,68.0,K,80.3, ,65.0, ,26.0, ,43.0, ,55.2, ,4.1,K,77.3, ,August,2012,-3.55
44,U.C. Riverside,Los Angeles Basin,Sep 2012,6.44,K,0.01,K,522.0,K,12.7, ,93.6, ,64.9,K,78.2, ,63.0, ,22.0, ,39.0, ,50.2, ,3.9,K,75.3, ,September,2012,-3.55
44,U.C. Riverside,Los Angeles Basin,Oct 2012,4.38, ,0.17, ,407.0,K,10.9, ,82.0,K,56.7,K,68.2,K,68.0,K,29.0,K,48.0, ,45.3, ,3.6,K,66.5, ,October,2012,-3.55
44,U.C. Riverside,Los Angeles Basin,Nov 2012,2.72, ,0.38,K,296.0,K,8.9,K,73.7,K,49.6,K,60.2,K,71.0,K,31.0,K,51.0,K,39.7,K,3.3,K,58.7,K,November,2012,-3.55
44,U.C. Riverside,Los Angeles Basin,Jul 2014,7.77,K,0.0,L,630.0,L,14.8,L,91.2,L,65.5,L,77.8,L,71.0,L,28.0,L,47.0,L,54.8,L,4.3,L,74.6,L,July,2014,-3.9
44,U.C. Riverside,Los Angeles Basin,Aug 2014,7.29,K,0.28, ,605.0,K,14.9, ,91.0, ,63.6,L,76.1, ,75.0, ,27.0, ,49.0, ,54.9, ,4.1,K,73.4, ,August,2014,-3.9
