Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc.1,Avg Sol Rad (Ly/day),qc.2,Avg Vap Pres (mBars),qc.3,Avg Max Air Temp (F),qc.4,Avg Min Air Temp (F),qc.5,Avg Air Temp (F),qc.6,Avg Max Rel Hum (%),qc.7,Avg Min Rel Hum (%),qc.8,Avg Rel Hum (%),qc.9,Avg Dew Point (F),qc.10,Avg Wind Speed (mph),qc.11,Avg Soil Temp (F),qc.12,month,year
44,U.C. Riverside,Los Angeles Basin,Feb 2009,2.41, ,2.96, ,282.0, ,7.4, ,64.5,K,43.8, ,53.4, ,73.0, ,38.0, ,56.0, ,35.6, ,3.4, ,52.2, ,Feb,2009
44,U.C. Riverside,Los Angeles Basin,Mar 2009,4.62, ,0.06, ,439.0, ,7.7,K,69.7, ,45.4, ,57.0, ,72.0, ,30.0, ,50.0,K,37.1,K,4.2,K,57.8, ,Mar,2009
44,U.C. Riverside,Los Angeles Basin,Apr 2009,5.58, ,0.0, ,518.0, ,8.2,K,73.2,K,48.8,K,60.5, ,70.0, ,30.0, ,48.0,K,38.4,K,4.5,K,61.7, ,Apr,2009
44,U.C. Riverside,Los Angeles Basin,May 2009,6.32, ,0.0, ,552.0, ,12.9, ,81.9, ,56.7, ,67.4, ,79.0, ,35.0, ,57.0, ,51.2, ,4.2, ,70.5, ,May,2009
44,U.C. Riverside,Los Angeles Basin,Jun 2009,5.37, ,0.02, ,496.0, ,13.1, ,79.3, ,58.1, ,67.3, ,77.0, ,39.0, ,58.0, ,51.6, ,4.4,K,70.3, ,Jun,2009
44,U.C. Riverside,Los Angeles Basin,Jul 2009,7.6, ,0.0, ,575.0, ,13.9, ,93.8, ,63.8,K,77.6, ,70.0, ,24.0, ,44.0, ,53.0, ,4.2, ,76.4, ,Jul,2009
44,U.C. Riverside,Los Angeles Basin,Aug 2009,6.68,K,0.0, ,509.0, ,13.0,K,91.9, ,62.3, ,75.9, ,69.0, ,24.0, ,45.0,K,50.9,K,3.8,K,74.3, ,Aug,2009
44,U.C. Riverside,Los Angeles Basin,Sep 2009,5.89,K,0.0, ,455.0, ,12.7,K,92.7, ,62.8,K,76.4, ,68.0, ,22.0, ,43.0,K,50.2,K,3.8,K,73.2, ,Sep,2009
44,U.C. Riverside,Los Angeles Basin,Oct 2009,4.4, ,0.0, ,355.0, ,8.9,K,78.4,K,53.6,K,65.2, ,66.0, ,25.0, ,43.0,K,39.5,K,4.5,K,64.3,K,Oct,2009
44,U.C. Riverside,Los Angeles Basin,Nov 2009,3.18,K,0.12,K,287.0,K,6.8,K,75.3, ,48.2, ,60.7,K,64.0,K,20.0,K,39.0, ,32.7, ,3.7,K,57.6,K,Nov,2009
44,U.C. Riverside,Los Angeles Basin,Dec 2009,2.08,K,1.78,K,207.0,K,6.6,K,63.1,K,43.5, ,52.5,K,70.0,K,33.0,K,50.0,K,32.8,K,3.6,K,50.9,K,Dec,2009
44,U.C. Riverside,Los Angeles Basin,Jan 2010,2.35, ,5.32, ,219.0, ,6.7, ,66.8,K,44.8, ,54.9, ,66.0, ,32.0, ,49.0, ,33.4, ,3.8,K,51.0, ,Jan,2010
44,U.C. Riverside,Los Angeles Basin,Feb 2010,2.44, ,2.03, ,285.0, ,8.4, ,65.4, ,45.4, ,54.6, ,77.0, ,38.0, ,59.0, ,39.5, ,3.6, ,54.3, ,Feb,2010
44,U.C. Riverside,Los Angeles Basin,Mar 2010,4.67, ,0.31, ,420.0, ,7.4, ,70.4, ,46.7, ,58.1, ,72.0, ,27.0, ,47.0, ,36.1, ,4.3, ,57.2, ,Mar,2010
