Title,Release_Date,Release_Year,Release_Month,Movie_Length,Genre,Director,IMDB_Rating,Rotten_Tomatoes_Rating,Oscars_Won,Production_Budget,2024_Inflation_Adjusted_Budget
The Blackening,"June 16, 2023",2023,6,97,Horror,Tim Story,6,87,0,5000000,5054210.15
Candyman,"August 27, 2021",2021,8,91,Horror,Nia DaCosta,5.9,84,0,25000000,28184777.5
Parasite,"August 30, 2019",2019,8,132,Thriller,Bong Joon Ho,8.5,99,4,11800000,14185176.83
Get Out,"February 24, 2017",2017,2,104,Horror,Jordan Peele,7.7,98,1,4500000,5697288.225
The Conjuring,"July 19, 2013",2013,7,112,Horror,James Wan,7.5,86,0,20000000,26406017.2
Black Swan,"December 17, 2010",2010,12,108,Thriller,Darren Aronofsky,8,85,1,13000000,18292906.71
REC,"October 17, 2008",2008,10,78,Horror,"Jaume Balagueró, Paco Plaza",7.4,90,0,2000000,2848157.44
28 Days Later,"June 27, 2003",2003,6,113,Horror,Danny Boyle,7.5,87,0,8000000,13431333.68
Ringu,"March 4, 2003",2003,3,96,Horror,Hideo Nakata,7.2,98,0,1500000,2511539.085
The Sixth Sense,"August 6, 1999",1999,8,107,Thriller,M. Night Shyamalan,8.2,86,0,40000000,73828126.8
The Silence of the Lambs,"February 14, 1991",1991,2,118,Thriller,Jonathan Demme,8.6,95,5,19000000,43471238.86
The Thing,"June 25, 1982",1982,6,109,Horror,John Carpenter,8.2,84,0,15000000,47693350.5
Alien,"May 25, 1979",1979,5,117,Horror,Ridley Scott,8.5,98,1,11000000,47448769.28
