Year,Number of Wildfires,Acres Burned
1987,13476,873000
1988,13290,345000
1989,10024,173400
1990,10548,365200
1991,9609,44200
1992,12047,282745
1993,8689,309779
1994,10269,526219
1995,8492,209815
1996,10610,752372
1997,9502,283885
1998,7572,215412
1999,11125,1172850
2000,7622,295026
2001,9458,329126
2002,8328,969890
2003,9116,1020460
2004,8415,264988
2005,7162,222538
2006,8202,736022
2007,9093,1520362
2008,6255,1593690
2009,9159,422147
2010,6554,109529
2011,7989,168545
2012,7950,869599
2013,9907,601635
2014,7865,625540
2015,8745,893362
2016,6986,669534
2017,9560,1548429
2018,8527,1975086
2019,7860,259823
2020,9639,4397809
2021,8835,2568948
2022,7490,362455
2023,7127,324917
