Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc.1,Avg Sol Rad (Ly/day),qc.2,Avg Vap Pres (mBars),qc.3,Avg Max Air Temp (F),qc.4,Avg Min Air Temp (F),qc.5,Avg Air Temp (F),qc.6,Avg Max Rel Hum (%),qc.7,Avg Min Rel Hum (%),qc.8,Avg Rel Hum (%),qc.9,Avg Dew Point (F),qc.10,Avg Wind Speed (mph),qc.11,Avg Soil Temp (F),qc.12,Year
75,Irvine,South Coast Valleys,Feb 2015,3.02,K,0.6,K,351.0, ,11.0, ,73.9,K,48.1,K,60.1,K,88.0,K,40.0,K,68.0,L,47.7,L,3.5, ,59.6, ,2015
75,Irvine,South Coast Valleys,Mar 2015,4.98,K,0.05, ,470.0,K,10.4,K,78.6,K,51.0,K,63.4,L,77.0,K,32.0,K,59.0,L,46.5,L,3.8,K,62.1, ,2015
75,Irvine,South Coast Valleys,Apr 2015,5.31, ,0.17, ,513.0, ,10.2,K,74.7,K,50.2, ,62.5,K,82.0, ,36.0, ,54.0,K,44.1,K,4.0, ,64.5, ,2015
75,Irvine,South Coast Valleys,May 2015,4.49, ,1.32,K,457.0, ,13.3, ,71.2, ,54.4, ,61.7, ,91.0, ,53.0, ,71.0, ,52.0, ,4.0,K,66.5, ,2015
75,Irvine,South Coast Valleys,Jun 2015,5.75,K,0.0, ,559.0, ,16.9, ,80.4,K,59.6,K,68.8,K,92.0,K,50.0,K,71.0,L,58.5,L,4.0, ,71.3, ,2015
75,Irvine,South Coast Valleys,Jul 2015,5.69,K,0.33,K,532.0, ,18.9,K,81.5, ,63.2, ,71.1, ,92.0, ,53.0, ,72.0,K,61.8,K,3.8,K,73.6, ,2015
75,Irvine,South Coast Valleys,Aug 2015,6.28, ,0.03, ,550.0, ,18.8, ,86.1,K,62.8, ,73.8,K,94.0, ,46.0, ,66.0,K,61.6,K,3.7,K,76.1, ,2015
75,Irvine,South Coast Valleys,Sep 2015,5.0,K,2.2,K,453.0, ,18.7,K,87.3,K,63.3,K,74.4,K,93.0, ,43.0, ,65.0,K,61.5,K,3.5,K,75.4, ,2015
75,Irvine,South Coast Valleys,Oct 2015,3.9,K,0.58, ,342.0, ,16.0,K,83.8,K,60.5,L,71.6,L,84.0,K,41.0,K,63.0,L,56.7,L,3.6,K,71.8, ,2015
75,Irvine,South Coast Valleys,Nov 2015,3.24,K,0.44, ,299.0, ,7.3, ,73.0,K,46.6,K,60.2,K,71.0,K,25.0,K,42.0,K,35.2,K,3.8, ,60.0, ,2015
75,Irvine,South Coast Valleys,Dec 2015,2.35, ,1.11,K,243.0, ,7.7,K,66.5, ,42.6, ,54.4, ,83.0, ,34.0, ,53.0,K,35.7,K,3.6,K,53.8, ,2015
75,Irvine,South Coast Valleys,Jan 2016,1.87, ,2.11,K,218.0, ,10.2, ,65.5, ,45.6, ,55.0, ,89.0, ,46.0, ,69.0, ,44.0, ,3.0,K,53.9, ,2016
75,Irvine,South Coast Valleys,Feb 2016,3.83,K,0.24, ,374.0, ,7.9, ,77.7,K,46.1,K,60.3,L,74.0,K,25.0,K,48.0,L,38.4,L,3.9,K,56.9, ,2016
75,Irvine,South Coast Valleys,Mar 2016,3.98, ,1.08,K,418.0, ,11.8,K,71.3, ,48.4,K,58.9, ,93.0, ,45.0, ,69.0,K,48.3,K,3.6,K,62.2, ,2016
75,Irvine,South Coast Valleys,Apr 2016,5.16,K,0.06, ,503.0, ,10.9,K,74.7,K,51.0, ,62.6,K,87.0,K,40.0,K,59.0,K,45.8,K,4.1,K,64.7, ,2016
75,Irvine,South Coast Valleys,May 2016,4.64, ,0.08, ,475.0, ,13.9, ,71.6, ,54.8, ,62.1, ,92.0, ,55.0, ,73.0, ,53.2, ,4.1,K,68.2, ,2016
