city,lon,lat,month,monthnum,sunshine
Seattle,-122.335167,47.608013,Jan,0,69
Chicago,-87.623177,41.881832,Jan,0,66
Houston,-95.358421,29.749907,Jan,0,9
New York,-73.935242,40.73061,Jan,0,10
San Francisco,-122.446747,37.733795,Jan,0,11
Miami,-80.191788,25.761681,Jan,0,57
Seattle,-122.335167,47.608013,Feb,1,108
Chicago,-87.623177,41.881832,Feb,1,28
Houston,-95.358421,29.749907,Feb,1,5
New York,-73.935242,40.73061,Feb,1,30
San Francisco,-122.446747,37.733795,Feb,1,11
Miami,-80.191788,25.761681,Feb,1,45
Seattle,-122.335167,47.608013,Mar,2,178
Chicago,-87.623177,41.881832,Mar,2,9
Houston,-95.358421,29.749907,Mar,2,6
New York,-73.935242,40.73061,Mar,2,20
San Francisco,-122.446747,37.733795,Mar,2,38
Miami,-80.191788,25.761681,Mar,2,15
Seattle,-122.335167,47.608013,Apr,3,207
Houston,-95.358421,29.749907,Apr,3,5
Chicago,-87.623177,41.881832,Apr,3,3
New York,-73.935242,40.73061,Apr,3,22
Miami,-80.191788,25.761681,Apr,3,38
San Francisco,-122.446747,37.733795,Apr,3,6
Seattle,-122.335167,47.608013,May,4,253
Houston,-95.358421,29.749907,May,4,13
New York,-73.935242,40.73061,May,4,2
Miami,-80.191788,25.761681,May,4,12
Chicago,-87.623177,41.881832,May,4,1
San Francisco,-122.446747,37.733795,May,4,33
Miami,-80.191788,25.761681,Jun,5,251
Seattle,-122.335167,47.608013,Jun,5,17
New York,-73.935242,40.73061,Jun,5,21
Houston,-95.358421,29.749907,Jun,5,9
Chicago,-87.623177,41.881832,Jun,5,13
San Francisco,-122.446747,37.733795,Jun,5,19
Miami,-80.191788,25.761681,Jul,6,267
Houston,-95.358421,29.749907,Jul,6,27
San Francisco,-122.446747,37.733795,Jul,6,6
New York,-73.935242,40.73061,Jul,6,2
Seattle,-122.335167,47.608013,Jul,6,10
Chicago,-87.623177,41.881832,Jul,6,6
Miami,-80.191788,25.761681,Aug,7,263
New York,-73.935242,40.73061,Aug,7,8
San Francisco,-122.446747,37.733795,Aug,7,1
Houston,-95.358421,29.749907,Aug,7,9
Seattle,-122.335167,47.608013,Aug,7,0
Chicago,-87.623177,41.881832,Aug,7,2
Miami,-80.191788,25.761681,Sep,8,216
Seattle,-122.335167,47.608013,Sep,8,5
Chicago,-87.623177,41.881832,Sep,8,5
New York,-73.935242,40.73061,Sep,8,9
Houston,-95.358421,29.749907,Sep,8,3
San Francisco,-122.446747,37.733795,Sep,8,29
Seattle,-122.335167,47.608013,Oct,9,142
Chicago,-87.623177,41.881832,Oct,9,51
New York,-73.935242,40.73061,Oct,9,20
Miami,-80.191788,25.761681,Oct,9,2
Houston,-95.358421,29.749907,Oct,9,24
San Francisco,-122.446747,37.733795,Oct,9,4
Seattle,-122.335167,47.608013,Nov,10,72
Chicago,-87.623177,41.881832,Nov,10,41
New York,-73.935242,40.73061,Nov,10,56
Houston,-95.358421,29.749907,Nov,10,12
San Francisco,-122.446747,37.733795,Nov,10,8
Miami,-80.191788,25.761681,Nov,10,23
Seattle,-122.335167,47.608013,Dec,11,52
Chicago,-87.623177,41.881832,Dec,11,54
Houston,-95.358421,29.749907,Dec,11,40
New York,-73.935242,40.73061,Dec,11,9
San Francisco,-122.446747,37.733795,Dec,11,1
Miami,-80.191788,25.761681,Dec,11,53
