Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc.1,Avg Sol Rad (Ly/day),qc.2,Avg Vap Pres (mBars),qc.3,Avg Max Air Temp (F),qc.4,Avg Min Air Temp (F),qc.5,Avg Air Temp (F),qc.6,Avg Max Rel Hum (%),qc.7,Avg Min Rel Hum (%),qc.8,Avg Rel Hum (%),qc.9,Avg Dew Point (F),qc.10,Avg Wind Speed (mph),qc.11,Avg Soil Temp (F),qc.12,Year
2,FivePoints,San Joaquin Valley,Jan 2024,1.21, ,1.26, ,159.0, ,10.7, ,59.5,K,41.1, ,49.5,K,99.0, ,68.0, ,88.0,K,45.7,K,4.8, ,55.0,K,2024
2,FivePoints,San Joaquin Valley,Feb 2024,2.04, ,4.02, ,272.0, ,11.0, ,62.1, ,41.8, ,51.4, ,100.0, ,59.0, ,84.0, ,46.7, ,4.7,K,56.4,K,2024
2,FivePoints,San Joaquin Valley,Mar 2024,3.99, ,0.9,K,415.0,K,9.9, ,67.8, ,43.2, ,55.1, ,93.0, ,43.0, ,67.0, ,44.0, ,5.6,K,59.8,K,2024
2,FivePoints,San Joaquin Valley,Apr 2024,5.63,K,0.63,K,508.0, ,10.5,K,75.3, ,46.2,K,60.7,K,88.0,K,36.0,K,58.0,K,45.4,K,5.9, ,63.2, ,2024
2,FivePoints,San Joaquin Valley,May 2024,8.3, ,0.17, ,624.0, ,9.8, ,85.8, ,49.9,K,68.7,K,72.0, ,24.0, ,41.0,K,43.7,K,6.2, ,69.5, ,2024
2,FivePoints,San Joaquin Valley,Jun 2024,9.13, ,0.03, ,654.0, ,12.6,K,95.5,K,59.9,K,78.6,K,64.0, ,23.0, ,37.0,K,50.1,K,5.9,K,77.0,K,2024
2,FivePoints,San Joaquin Valley,Jul 2024,9.41, ,0.0, ,652.0,K,15.7, ,102.5,K,66.2,K,85.1,K,66.0, ,22.0, ,38.0,K,56.5,K,5.2, ,84.3,L,2024
2,FivePoints,San Joaquin Valley,Aug 2024,8.0, ,0.0, ,555.0, ,13.7, ,95.8,K,61.2, ,79.3,K,67.0, ,25.0, ,40.0,K,52.7,K,5.4, ,81.1,K,2024
2,FivePoints,San Joaquin Valley,Sep 2024,5.99, ,0.08,K,459.0,K,13.0,K,92.7, ,57.4, ,74.5,K,72.0,K,26.0,K,45.0, ,51.5, ,4.7,K,76.7,K,2024
2,FivePoints,San Joaquin Valley,Oct 2024,4.73,K,0.0, ,347.0, ,10.5,K,85.0,K,50.6,K,67.3,K,71.0, ,27.0, ,46.0,K,45.0,K,5.1,K,71.5,K,2024
2,FivePoints,San Joaquin Valley,Nov 2024,2.34, ,0.83,K,231.0, ,8.0, ,65.6,K,37.9,K,51.0,K,85.0, ,43.0, ,64.0,K,38.1,K,4.8,K,60.4, ,2024
2,FivePoints,San Joaquin Valley,Dec 2024,1.2, ,0.86, ,163.0, ,9.9, ,60.4, ,38.9, ,48.5, ,96.0, ,65.0, ,85.0, ,44.1, ,4.2, ,54.4, ,2024
2,FivePoints,San Joaquin Valley,Jan 2025,1.99, ,0.24, ,228.0, ,7.0, ,61.8, ,32.0, ,45.7, ,88.0, ,44.0, ,67.0, ,35.1, ,4.3,K,48.7, ,2025
5,Shafter,San Joaquin Valley,Jan 2024,1.57, ,1.19, ,218.0,K,10.3,K,59.6,K,40.6,K,49.5,K,98.0, ,63.0, ,84.0,K,44.7,K,3.6,K,52.8, ,2024
5,Shafter,San Joaquin Valley,Feb 2024,2.55, ,1.91, ,332.0,K,11.0,K,64.6, ,43.6,K,53.1, ,97.0, ,54.0, ,79.0,K,46.7,K,4.2,K,55.8, ,2024
5,Shafter,San Joaquin Valley,Mar 2024,4.01, ,1.6,K,456.0,K,10.5,K,68.7, ,43.8, ,55.6,K,95.0,K,43.0,K,70.0, ,45.8, ,4.1,K,59.7,K,2024
5,Shafter,San Joaquin Valley,Apr 2024,5.59, ,0.89, ,586.0,K,11.7, ,75.3, ,47.2, ,60.8,K,92.0, ,38.0, ,64.0,K,48.2,K,4.6,K,66.0, ,2024
